4531444389842992129 | all | Bato.to
5096384382752696500 | ar | Bato.to
6495955027968241042 | bg | Bato.to
7576440018916883094 | cs | Bato.to
5316229865560945519 | da | Bato.to
139923318887989403 | de | Bato.to
8473797648002215114 | el | Bato.to
7890050626002177109 | en | Bato.to
6425880763345674767 | en_us | Bato.to
6204540321264480489 | es | Bato.to
7185350469868201379 | es-419 | Bato.to
3468748569008741067 | eu | Bato.to
1302226087224798096 | fa | Bato.to
1251974539278082369 | fi | Bato.to
313424729392609270 | fil | Bato.to
5836611700806032846 | fr | Bato.to
2408078218204857839 | he | Bato.to
7668596971407381245 | hr | Bato.to
4530528320166985351 | hu | Bato.to
1720762928205210073 | id | Bato.to
2160637426591463299 | it | Bato.to
5203173367987472935 | ja | Bato.to
8427126052180576160 | ko | Bato.to
3443092856670936701 | ml | Bato.to
1683078263344915307 | mn | Bato.to
5990851390838920547 | ms | Bato.to
5762198617335159887 | my | Bato.to
2451829407813501910 | nl | Bato.to
3907280050995528877 | no | Bato.to
3394902802486008664 | pl | Bato.to
6179954312892676695 | pt | Bato.to
3484603489360202582 | pt-BR | Bato.to
2823929639670313992 | pt-PT | Bato.to
5145326243818977877 | ro | Bato.to
5188408707919914484 | ru | Bato.to
2706040171335467974 | th | Bato.to
6468780937168595917 | tr | Bato.to
1782621454240367603 | uk | Bato.to
3164440079022386695 | vi | Bato.to
3158884414181268012 | zh | Bato.to
2818874445640189582 | zh-rHK | Bato.to
38886079663327225 | zh-rTW | Bato.to
3786926370127246407 | zu | Bato.to
6338219619148105941 | en | Cubari
1470847599087460255 | all | Cubari
2013845246758512290 | other | Cubari
